genes_id	tAI	stAI
YAL069W	0.2696521997669	0.170038460467553
YAL068W-A	0.32663497051258	0.164377506939609
YAL068C	0.554127707827303	0.355042873919197
YAL067W-A	0.243736515686021	0.183220386471934
YAL067C	0.401384000009415	0.250802843414061
YAL066W	0.284942202496471	0.186345193554103
YAL065C	0.337214550954842	0.216754158669608
YAL064W-B	0.317643233108046	0.238717266176184
YAL064C-A	0.422538273387623	0.281116064061117
YAL064W	0.314162278420972	0.196373643595415
YAL063C-A	0.420605599194568	0.254379790775305
YAL063C	0.431187963127529	0.277667482007509
YAL062W	0.429953113540408	0.310540726478585
YAL061W	0.395721498674508	0.297310097163718
YAL060W	0.431259799232661	0.276909325822738
YAL059C-A	0.289144630604201	0.218859605092544
YAL059W	0.41664685945556	0.305875651076631
YAL058W	0.337684256745755	0.250778403733862
YAL056C-A	0.306931744886865	0.221074407699773
YAL056W	0.33046800888261	0.222706413621836
YAL055W	0.318535040088159	0.227723641401075
YAL054C	0.459683683948729	0.309132941826791
YAL053W	0.387525626457838	0.26001241385612
YAL051W	0.361735297668616	0.23662985589532
YAL049C	0.422866300177611	0.265447026684671
YAL048C	0.37562879041288	0.2432269641073
YAL047W-A	0.333062873503208	0.218090866984157
YAL047C	0.372484235052408	0.265676578697392
YAL046C	0.366756551553419	0.294135066456196
YAL045C	0.307418029614357	0.190573706434891
YAL044W-A	0.393223046432959	0.272518862414032
YAL044C	0.419792313962245	0.287513629981848
YAL043C	0.358233479594074	0.281473275631849
YAL042C-A	0.297893937883155	0.195230326828226
YAL042W	0.361580808813295	0.27245977681648
YAL041W	0.348834254047702	0.235701898467305
YAL040C	0.396807891619104	0.268674518793838
YAL039C	0.364339155228787	0.290794361907093
YAL038W	0.643048246295658	0.408417346202557
YAL037C-B	0.384206048691661	0.210137399867926
YAL037C-A	0.359436931212848	0.256214571755941
YAL037W	0.312954887149707	0.212788643587328
YAL036C	0.41810391902225	0.276682385457413
YAL035W	0.520065587481452	0.35873351701204
YAL034C-B	0.351592461402729	0.23597256051436
YAL034W-A	0.329856071877393	0.261515126990882
YAL034C	0.368372349744234	0.261475776091488
YAL033W	0.292694561732945	0.242128191984014
YAL032C	0.374823882002341	0.28782036850227
YAL031W-A	0.300256680940693	0.215030544600031
YAL031C	0.352435887274584	0.261900367471011
YAL030W	0.330774839591017	0.258952915930761
YAL029C	0.389433945890328	0.266714404302336
YAL028W	0.343633080246517	0.24603992635779
YAL027W	0.360736685234885	0.251269466796661
YAL026C-A	0.270918379061168	0.219171240402686
YAL026C	0.420954054432734	0.265708233040013
YAL025C	0.453619583227954	0.315251891196838
YAL024C	0.347118421671034	0.237633486577674
YAL023C	0.435617107132924	0.29452398961889
YAL022C	0.357574062239806	0.24656898478681
YAL021C	0.381049298527749	0.279082497493122
YAL020C	0.29878714171982	0.243030990715456
YAL019W-A	0.306340856161983	0.22584904434375
YAL019W	0.404974567211491	0.278714139082729
YAL018C	0.387860341015405	0.249782132637312
YAL017W	0.367588214431428	0.242556088026667
YAL016C-B	0.451241059401591	0.272640373122346
YAL016C-A	0.376948073179454	0.247008079587349
YAL016W	0.409393057485556	0.275182396488383
YAL015C	0.362290248643791	0.280472435015455
YAL014C	0.342713032436842	0.278502268136653
YAL013W	0.336253929825213	0.302498649281057
YAL012W	0.500902428880299	0.325023592413648
YAL011W	0.377449131814463	0.296269194260232
YAL010C	0.334384520496162	0.217740033720374
YAL009W	0.334035017614818	0.234068998273037
YAL008W	0.38914177246137	0.260118260231445
YAL007C	0.441588011904054	0.285004086088224
YAL005C	0.63031644357633	0.405110099730784
YAL004W	0.330050151874122	0.195400828984123
YAL003W	0.644170987993351	0.429793293884446
YAL002W	0.365293812020581	0.236729075541499
YAL001C	0.365036571533224	0.256557470384107
YAR002W	0.374585992198674	0.246632783407285
YAR002C-A	0.496653808792963	0.324608897989749
YAR003W	0.336164456336685	0.216826053463663
YAR007C	0.426142245349399	0.271464665400275
YAR008W	0.369826834678066	0.239371055869914
YAR009C	0.361005245696132	0.243564002712676
YAR010C	0.370128120616362	0.24767241414908
YAR014C	0.358164512863093	0.236619464189013
YAR015W	0.451115092335053	0.323950142305979
YAR018C	0.341082591481673	0.251024886680683
YAR019C	0.35709729932267	0.251988432792217
YAR019W-A	0.315139116188076	0.199936795461917
YAR020C	0.558991979676921	0.33499319096099
YAR023C	0.337102115260785	0.213646528528293
YAR027W	0.355401835386252	0.22043641714066
YAR028W	0.351448698837277	0.224976686810936
YAR029W	0.363273911982457	0.228528139476637
YAR030C	0.29813054377427	0.193852690255478
YAR031W	0.330002716333148	0.217393978560606
YAR033W	0.307414220267602	0.212410099412552
YAR035W	0.340356089857264	0.284153627736085
YAR035C-A	0.215431038118027	0.119791073827207
